theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,-1,confirm,1.0,-59.85,-75.85,25.65,243,85.49,59.85,564,0.431,0.772,0.057,0.0525,2,0.1636,398,0.5935,1,561,-49.87,1,561,-49.87,0,-1,,1,561,-49.87,0.3167,41.15,2,96876
80.0,0,1,fallback,1.0,19.83,3.83,60.91,208,41.08,-0.0,472,0.441,1.706,0.144,0.3378,3,0.4075,5,0.9217,0,-1,,0,-1,,0,-1,,0,-1,,0.5702,85.71,3,97440
80.0,0,-1,confirm,1.0,-73.51,-89.51,8.48,11,81.99,73.51,280,0.039,0.315,0.053,-0.3318,3,-0.1029,130,0.4407,0,-1,,0,-1,,0,-1,,0,-1,,0.5308,40.83,3,97912
80.0,0,1,fallback,1.0,-37.89,-53.89,2.81,23,40.7,37.89,328,0.07,1.728,0.088,0.208,3,0.2105,22,0.4798,0,-1,,0,-1,,0,-1,,0,-1,,0.0972,82.06,3,98192
80.0,0,-1,confirm,1.0,-71.84,-87.84,9.86,26,81.7,71.84,618,0.042,1.454,0.02,-0.0507,3,-0.0498,31,0.8043,0,-1,,0,-1,,0,-1,,0,-1,,0.4156,40.68,3,98520
80.0,0,1,fallback,1.0,-19.58,-35.58,20.98,733,40.56,32.17,1165,0.629,0.308,0.047,-0.1858,3,0.4801,48,0.8078,1,276,-22.38,1,276,-22.38,1,276,-22.38,1,279,-23.78,0.7288,81.78,3,99138
80.0,0,-1,confirm,1.0,159.75,143.75,198.99,4779,39.24,60.26,4979,0.96,2.308,0.156,0.4418,5,0.489,4772,0.8343,1,532,-25.22,0,-1,,0,-1,,0,-1,,0.1674,40.47,3,100303
80.0,0,1,confirm,1.0,21.36,5.36,62.66,1249,41.3,35.6,1391,0.898,0.697,0.088,0.0895,5,0.1971,638,0.8437,1,930,-21.36,1,930,-21.36,0,-1,,0,-1,,0.4988,40.03,5,105282
80.0,0,-1,confirm,1.0,-56.84,-72.84,25.58,796,82.42,56.84,1930,0.412,1.35,0.089,0.0101,5,0.185,1874,0.8228,1,602,-17.05,1,800,15.63,0,-1,,1,1671,-35.53,0.3742,41.04,5,106673
80.0,0,1,fallback,1.0,21.2,5.2,62.17,526,40.98,16.96,796,0.661,2.782,0.163,0.3122,6,0.3385,546,0.7848,0,-1,,0,-1,,0,-1,,0,-1,,0.1912,82.63,6,108603
